date, time, channel, user, function
2022/01/18, 03:37:33+09:00:00, C01M3H3E24B, W015MCPDVFF, invite_action
2022/01/18, 03:56:07+09:00:00, C01M3H3E24B, W015UV0JG20, invite_action
2022/01/18, 03:56:07+09:00:00, C01M3H3E24B, W015UV0JG20, invite_action
2022/01/18, 04:11:38+09:00:00, C01M3H3E24B, W015UUWSKHS, invite_action
2022/01/18, 06:14:47+09:00:00, C01M3H3E24B, W015NPS92BC, invite_action
2022/01/18, 06:36:54+09:00:00, C01M3H3E24B, W015P0G7SM9, invite_action
2022/01/18, 06:36:54+09:00:00, C01M3H3E24B, W015P0G7SM9, invite_action
2022/01/18, 06:36:54+09:00:00, C01M3H3E24B, W015P0G7SM9, invite_action
2022/01/18, 06:47:20+09:00:00, C01M3H3E24B, W015MCMS9PX, invite_action
2022/01/18, 06:50:04+09:00:00, C01M3H3E24B, U01T1LBCDD3, invite_action
2022/01/18, 06:57:25+09:00:00, C01M3H3E24B, W015P0CULG3, invite_action
2022/01/18, 07:30:26+09:00:00, C01M3H3E24B, U01T4UYTRKM, invite_action
2022/01/18, 07:53:10+09:00:00, C01M3H3E24B, W015G298Q0N, invite_action
2022/01/18, 07:53:10+09:00:00, C01M3H3E24B, W015G298Q0N, invite_action
2022/01/18, 08:03:14+09:00:00, C01M3H3E24B, W01581UFFUP, invite_action
2022/01/18, 08:43:12+09:00:00, C01M3H3E24B, W015820JM2B, invite_action
2022/01/18, 08:56:19+09:00:00, C01M3H3E24B, W015P0BQVMZ, invite_action
2022/01/18, 09:20:33+09:00:00, C01M3H3E24B, U01SPVB9S2K, invite_action
2022/01/18, 10:57:18+09:00:00, C01M3H3E24B, W0161CR4CU9, invite_action
2022/01/18, 12:47:22+09:00:00, C01M3H3E24B, W015UV512VA, invite_action
2022/01/18, 14:48:56+09:00:00, C01M3H3E24B, W0158205W95, invite_action
2022/01/19, 00:51:01+09:00:00, C01M3H3E24B, W015NPSMRUJ, invite_action
2022/01/19, 01:32:34+09:00:00, C01M3H3E24B, W0161CNQQM7, invite_action
2022/01/19, 01:32:34+09:00:00, C01M3H3E24B, W0161CNQQM7, invite_action
2022/01/19, 01:50:32+09:00:00, C01M3H3E24B, W0158209023, invite_action
2022/01/19, 01:50:32+09:00:00, C01M3H3E24B, W0158209023, invite_action
2022/01/19, 04:46:38+09:00:00, C01M3H3E24B, W0161CSCG2V, invite_action
2022/01/19, 04:46:38+09:00:00, C01M3H3E24B, W0161CSCG2V, invite_action
2022/01/19, 06:02:36+09:00:00, C01M3H3E24B, W0161CST98R, invite_action
2022/01/19, 06:02:36+09:00:00, C01M3H3E24B, W0161CST98R, invite_action
2022/01/19, 06:02:36+09:00:00, C01M3H3E24B, W0161CST98R, invite_action
2022/01/20, 06:01:49+09:00:00, C01M3H3E24B, W015MCH5JJH, invite_action
2022/01/20, 06:01:50+09:00:00, C01M3H3E24B, W015MCH5JJH, invite_action
2022/01/20, 06:24:16+09:00:00, C01M3H3E24B, U01SK6D0F0D, invite_action
2022/01/20, 06:24:16+09:00:00, C01M3H3E24B, U01SK6D0F0D, invite_action
2022/01/20, 23:50:49+09:00:00, C01M3H3E24B, W015P0D364B, invite_action
2022/01/20, 23:50:49+09:00:00, C01M3H3E24B, W015P0D364B, invite_action
2022/01/20, 23:50:49+09:00:00, C01M3H3E24B, W015P0D364B, invite_action
2022/01/21, 00:50:31+09:00:00, C01M3H3E24B, W015MCT14RK, invite_action
2022/01/21, 06:40:28+09:00:00, C01M3H3E24B, W0161CS1HQR, invite_action
2022/01/21, 06:40:28+09:00:00, C01M3H3E24B, W0161CS1HQR, invite_action
2022/01/21, 06:40:28+09:00:00, C01M3H3E24B, W0161CS1HQR, invite_action
2022/01/21, 06:40:48+09:00:00, C01M3H3E24B, W0161CSFE49, invite_action
2022/01/22, 06:27:02+09:00:00, C01M3H3E24B, W015UV01R2Q, invite_action
2022/01/22, 06:27:02+09:00:00, C01M3H3E24B, W015UV01R2Q, invite_action
2022/01/26, 08:40:59+09:00:00, C01M3H3E24B, W015MCM0QA1, invite_action
2022/01/28, 14:33:00+09:00:00, C01M3H3E24B, W015UV0GQ0L, invite_action
2022/01/28, 14:33:00+09:00:00, C01M3H3E24B, W015UV0GQ0L, invite_action
2022/01/29, 09:48:47+09:00:00, C01M3H3E24B, U02GRSKSKEJ, invite_action
2022/01/29, 09:48:47+09:00:00, C01M3H3E24B, U02GRSKSKEJ, invite_action
2022/01/29, 09:48:47+09:00:00, C01M3H3E24B, U02GRSKSKEJ, invite_action
